model number,number layers, number nodes, mean error, mean enzyme error, score
50.5,20,273,0.183833040903693,0.315799259432373,0.499632300336066
51.5,18,297,0.246885384244343,0.451871023834494,0.698756408078837
52.5,18,297,0.148545206352928,0.258607292509511,0.407152498862439
54.5,30,306,0.186937616178017,0.375718839533531,0.562656455711549
55.5,20,293,0.20197499629158,0.401988071641787,0.603963067933366
57.5,20,293,0.215962432845955,0.398826746872391,0.614789179718346
58.5,24,300,0.208587766113088,0.329236216433892,0.53782398254698
59.5,20,298,0.212159060611431,0.400174667237742,0.612333727849174
61.5,18,254,0.234161389050512,0.42315388503845,0.657315274088962
64.5,22,309,0.160432791974839,0.263798646852801,0.424231438827639
65.5,20,299,0.241995116557262,0.505370401803576,0.747365518360839
66.5,18,268,0.204880568420637,0.349621330704934,0.554501899125571
66.6,18,268,0.168940314269366,0.282104822557758,0.451045136827124

70.1, 18, 309, 0.2045439665683068, 0.45790457453484457, 0.6624485411031513
71.1, 18, 277, 0.20050214074417877, 0.44628519242355486, 0.6467873331677336
72.1, 22, 263, 0.1951457188493853, 0.39919379883264655, 0.5943395176820319
73.1, 18, 263, 0.21617723581615347, 0.4420747778475534, 0.6582520136637069
74.1, 24, 261, 0.20425091476785198, 0.45055336127651247, 0.6548042760443644
75.1, 24, 318, 0.20017766772870957, 0.4678017898698899, 0.6679794575985994
76.1, 26, 264, 0.18885305527780502, 0.4265840699883925, 0.6154371252661975
77.1, 26, 306, 0.20941145126762756, 0.461811460264469, 0.6712229115320966
78.1, 22, 309, 0.20130093771741234, 0.45754317668343747, 0.6588441144008498
79.1, 22, 281, 0.16237621390724932, 0.4268657793171564, 0.5892419932244057
80.1, 18, 268, 0.16714606323135617, 0.4441239016711759, 0.611269964902532
81.1, 18, 270, 0.19153057812630572, 0.39746076005030706, 0.5889913381766128
82.1, 20, 259, 0.2000632365437144, 0.4374381853325121, 0.6375014218762265
83.1, 18, 308, 0.20292365697458276, 0.39233266605183753, 0.5952563230264203
84.1, 20, 300, 0.20011084423315528, 0.4596798952340784, 0.6597907394672337
70.2, 18, 309, 0.21690321628332349, 0.3883793797431099, 0.6052825960264334
71.2, 18, 277, 0.2047723159141234, 0.3676438931869511, 0.5724162091010745
72.2, 22, 263, 0.18899978020475694, 0.2891070927470326, 0.47810687295178955
73.2, 18, 263, 0.22773259693903036, 0.35885702046409157, 0.586589617403122
74.2, 24, 261, 0.2088201196604058, 0.39074629485675805, 0.5995664145171639
75.2, 24, 318, 0.19085357171047837, 0.3307102011319745, 0.5215637728424529
76.2, 26, 264, 0.1745617620134143, 0.33052559600642645, 0.5050873580198407
77.2, 26, 306, 0.21533673226779418, 0.3797383915142344, 0.5950751237820285
